accident_id,accident_date,state,road_type,cause,weather,light_condition,vehicle_type,severity,casualties,fatalities,speed_kmph
ACC00203,2018-01-23 06:00,Rajasthan,National Highway,Wrong Side Driving,Clear,Night - Street Lit,Two-Wheeler,Minor,4,3,81.0
ACC00204,2020-04-17 16:00,Uttar Pradesh,National Highway,Bad Weather,Foggy,Night - No Light,Truck,Serious,1,0,51.0
ACC00205,2019-04-22 15:00,Rajasthan,Urban Road,Vehicle Failure,Foggy,Daylight,Pedestrian,Minor,4,1,1.0
ACC00206,2021-05-26 23:00,West Bengal,National Highway,Drunk Driving,Hazy,Dawn/Dusk,Car,Minor,6,2,85.7
ACC00207,2023-04-06 21:00,Karnataka,State Highway,Bad Weather,Windy,Daylight,Auto-Rickshaw,Minor,2,0,16.4
ACC00208,2018-04-15 04:00,Tamil Nadu,State Highway,Vehicle Failure,Clear,Night - No Light,Truck,Minor,2,0,44.4
ACC00209,2018-05-04 11:00,Odisha,State Highway,Bad Weather,Rainy,Daylight,Truck,Serious,2,0,76.3
ACC00210,2023-03-25 10:00,Gujarat,Expressway,Poor Road Condition,Clear,Dawn/Dusk,Car,Fatal,1,0,4.0
ACC00211,2022-09-22 19:00,Maharashtra,State Highway,Bad Weather,Rainy,Daylight,Auto-Rickshaw,Minor,2,1,109.3
ACC00212,2019-11-11 23:00,Tamil Nadu,Rural Road,Wrong Side Driving,Windy,Dawn/Dusk,Two-Wheeler,Fatal,3,0,29.6
ACC00213,2022-11-22 00:00,Maharashtra,National Highway,Distracted Driving,Windy,Dawn/Dusk,Two-Wheeler,Fatal,0,0,17.0
ACC00214,2020-09-22 07:00,Karnataka,State Highway,Signal Jumping,Windy,Daylight,Car,Fatal,3,3,5.6
ACC00215,2023-02-27 01:00,Tamil Nadu,Urban Road,Vehicle Failure,Windy,Night - No Light,Auto-Rickshaw,Minor,3,0,79.1
ACC00216,2018-01-03 10:00,Madhya Pradesh,State Highway,Over Speeding,Hazy,Night - No Light,Bus,Fatal,1,0,14.6
ACC00217,2019-06-18 03:00,Madhya Pradesh,Expressway,Over Speeding,Hazy,Daylight,Truck,Minor,5,3,50.7
ACC00218,2019-09-24 19:00,Maharashtra,Expressway,Over Speeding,Clear,Night - Street Lit,Auto-Rickshaw,Fatal,1,0,73.7
ACC00219,2022-07-22 06:00,Odisha,Urban Road,Over Speeding,Foggy,Dawn/Dusk,Two-Wheeler,Serious,1,0,29.9
ACC00220,2018-02-10 06:00,Odisha,Rural Road,Distracted Driving,Rainy,Daylight,Auto-Rickshaw,Minor,0,0,12.3
ACC00221,2020-07-19 13:00,Rajasthan,Rural Road,Over Speeding,Hazy,Dawn/Dusk,Bus,Minor,2,0,56.6
ACC00222,2022-02-22 20:00,Uttar Pradesh,Expressway,Over Speeding,Clear,Night - Street Lit,Car,Serious,1,0,98.2
ACC00223,2022-01-12 19:00,West Bengal,Urban Road,Over Speeding,Clear,Dawn/Dusk,Bus,Serious,4,0,23.4
ACC00224,2018-09-11 17:00,Tamil Nadu,National Highway,Bad Weather,Windy,Dawn/Dusk,Auto-Rickshaw,Minor,1,0,89.8
ACC00225,2018-02-13 12:00,Bihar,Rural Road,Bad Weather,Hazy,Night - No Light,Bus,Minor,3,0,119.2
ACC00226,2019-01-23 19:00,Maharashtra,Urban Road,Poor Road Condition,Foggy,Daylight,Pedestrian,Minor,5,2,10.5
ACC00227,2020-10-19 18:00,Karnataka,State Highway,Over Speeding,Clear,Dawn/Dusk,Auto-Rickshaw,Minor,2,0,19.2
ACC00228,2023-10-02 01:00,Gujarat,Urban Road,Wrong Side Driving,Foggy,Night - No Light,Pedestrian,Minor,1,1,26.6
ACC00229,2021-04-07 09:00,Maharashtra,National Highway,Vehicle Failure,Hazy,Daylight,Auto-Rickshaw,Serious,3,2,81.7
ACC00230,2018-05-06 02:00,Rajasthan,State Highway,Over Speeding,Hazy,Night - No Light,Truck,Fatal,1,1,99.9
ACC00231,2018-06-07 10:00,Maharashtra,Rural Road,Vehicle Failure,Windy,Daylight,Auto-Rickshaw,Serious,4,0,20.2
ACC00232,2019-11-16 12:00,Bihar,Expressway,Bad Weather,Rainy,Dawn/Dusk,Truck,Minor,0,0,38.4
ACC00233,2019-03-16 11:00,Gujarat,Urban Road,Vehicle Failure,Clear,Night - Street Lit,Car,Minor,0,0,113.7
ACC00234,2018-05-19 08:00,Gujarat,Urban Road,Over Speeding,Windy,Daylight,Car,Serious,0,0,1.0
ACC00235,2022-09-25 09:00,Tamil Nadu,State Highway,Poor Road Condition,Clear,Night - Street Lit,Auto-Rickshaw,Minor,5,2,107.4
ACC00236,2019-05-22 04:00,Tamil Nadu,Rural Road,Vehicle Failure,Clear,Night - Street Lit,Car,Minor,1,1,103.3
ACC00237,2023-10-23 03:00,Bihar,Rural Road,Signal Jumping,Clear,Daylight,Bus,Minor,2,0,1.7
ACC00238,2021-05-21 08:00,Maharashtra,National Highway,Over Speeding,Rainy,Dawn/Dusk,Bus,Fatal,4,0,85.3
ACC00239,2018-08-06 03:00,Karnataka,Urban Road,Over Speeding,Foggy,Night - Street Lit,Pedestrian,Fatal,4,1,75.5
ACC00240,2019-09-15 03:00,Rajasthan,Urban Road,Poor Road Condition,Hazy,Daylight,Bus,Fatal,2,1,33.4
ACC00241,2022-12-11 07:00,Madhya Pradesh,Urban Road,Bad Weather,Foggy,Night - Street Lit,Car,Fatal,0,0,3.3
ACC00242,2023-06-21 05:00,Tamil Nadu,Rural Road,Distracted Driving,Rainy,Daylight,Bus,Fatal,2,0,47.8
ACC00243,2019-12-17 13:00,Odisha,Expressway,Bad Weather,Hazy,Night - Street Lit,Pedestrian,Minor,2,2,50.5
ACC00244,2023-06-27 06:00,Bihar,Rural Road,Drunk Driving,Windy,Dawn/Dusk,Auto-Rickshaw,Serious,1,1,99.5
ACC00245,2023-06-02 03:00,Maharashtra,Expressway,Wrong Side Driving,Rainy,Night - No Light,Truck,Minor,2,0,116.2
ACC00246,2021-02-28 01:00,Uttar Pradesh,Urban Road,Bad Weather,Rainy,Night - No Light,Car,Serious,3,1,33.4
ACC00247,2020-05-11 19:00,Maharashtra,National Highway,Bad Weather,Windy,Night - Street Lit,Pedestrian,Serious,3,0,63.4
ACC00248,2020-05-13 01:00,Bihar,National Highway,Bad Weather,Hazy,Dawn/Dusk,Two-Wheeler,Serious,1,0,6.0
ACC00249,2020-07-25 12:00,Maharashtra,Expressway,Wrong Side Driving,Foggy,Night - Street Lit,Car,Serious,3,2,119.0
ACC00250,2019-11-17 08:00,Uttar Pradesh,Expressway,Vehicle Failure,Rainy,Dawn/Dusk,Auto-Rickshaw,Minor,3,0,119.4
ACC00251,2020-11-17 19:00,West Bengal,Expressway,Poor Road Condition,Hazy,Daylight,Truck,Minor,2,0,102.9
ACC00252,2021-08-11 21:00,Bihar,Expressway,Distracted Driving,Hazy,Dawn/Dusk,Car,Serious,2,2,0.9
ACC00253,2020-12-22 20:00,Maharashtra,Urban Road,Over Speeding,Clear,Daylight,Bus,Fatal,4,2,73.0
ACC00254,2021-09-08 02:00,Bihar,Rural Road,Vehicle Failure,Foggy,Night - No Light,Pedestrian,Minor,1,0,107.7
ACC00255,2019-08-08 00:00,Odisha,Urban Road,Bad Weather,Windy,Daylight,Truck,Minor,1,0,67.5
ACC00256,2020-06-01 13:00,Maharashtra,Urban Road,Drunk Driving,Clear,Night - Street Lit,Pedestrian,Fatal,1,0,1.3
ACC00257,2023-07-02 22:00,Maharashtra,Rural Road,Over Speeding,Windy,Daylight,Auto-Rickshaw,Serious,1,0,8.9
ACC00258,2021-11-01 15:00,Madhya Pradesh,State Highway,Bad Weather,Rainy,Dawn/Dusk,Pedestrian,Serious,0,0,13.0
ACC00259,2022-01-02 19:00,Maharashtra,Urban Road,Signal Jumping,Clear,Night - No Light,Auto-Rickshaw,Minor,2,0,68.1
ACC00260,2020-10-04 01:00,Karnataka,Rural Road,Poor Road Condition,Hazy,Daylight,Auto-Rickshaw,Serious,1,0,107.0
ACC00261,2020-09-24 11:00,Uttar Pradesh,Rural Road,Over Speeding,Windy,Night - Street Lit,Auto-Rickshaw,Minor,1,0,104.0
ACC00262,2021-09-12 13:00,Madhya Pradesh,State Highway,Bad Weather,Rainy,Night - No Light,Car,Fatal,3,2,36.9
ACC00263,2019-08-16 05:00,Uttar Pradesh,Urban Road,Distracted Driving,Windy,Night - No Light,Pedestrian,Serious,1,1,4.5
ACC00264,2023-09-15 03:00,Gujarat,Urban Road,Poor Road Condition,Clear,Night - Street Lit,Pedestrian,Serious,2,2,103.5
ACC00265,2020-04-24 06:00,Tamil Nadu,National Highway,Vehicle Failure,Rainy,Daylight,Car,Minor,4,3,58.5
ACC00266,2023-01-27 02:00,Maharashtra,Urban Road,Wrong Side Driving,Foggy,Dawn/Dusk,Bus,Serious,1,0,86.0
ACC00267,2022-02-18 09:00,Odisha,Rural Road,Signal Jumping,Hazy,Night - No Light,Auto-Rickshaw,Minor,2,0,111.4
ACC00268,2020-07-28 16:00,West Bengal,Rural Road,Bad Weather,Windy,Night - Street Lit,Car,Minor,2,0,118.0
ACC00269,2021-08-28 21:00,Uttar Pradesh,State Highway,Drunk Driving,Hazy,Daylight,Bus,Fatal,2,0,14.4
ACC00270,2023-05-14 16:00,Maharashtra,National Highway,Signal Jumping,Windy,Dawn/Dusk,Pedestrian,Minor,2,1,32.0
ACC00271,2018-07-16 11:00,Uttar Pradesh,Expressway,Signal Jumping,Windy,Dawn/Dusk,Pedestrian,Fatal,2,0,118.1
ACC00272,2019-08-19 08:00,Uttar Pradesh,National Highway,Over Speeding,Foggy,Night - Street Lit,Two-Wheeler,Fatal,4,3,70.5
ACC00273,2023-05-04 07:00,Rajasthan,Expressway,Signal Jumping,Hazy,Night - Street Lit,Two-Wheeler,Serious,1,0,101.4
ACC00274,2018-05-25 16:00,Bihar,Urban Road,Wrong Side Driving,Rainy,Night - Street Lit,Pedestrian,Minor,0,0,69.5
ACC00275,2022-03-19 00:00,Rajasthan,Urban Road,Over Speeding,Windy,Night - No Light,Auto-Rickshaw,Serious,3,0,105.2
ACC00276,2021-12-16 05:00,Bihar,National Highway,Vehicle Failure,Clear,Dawn/Dusk,Two-Wheeler,Minor,1,0,19.6
ACC00277,2022-08-22 13:00,Odisha,State Highway,Drunk Driving,Rainy,Dawn/Dusk,Bus,Minor,4,1,88.0
ACC00278,2020-01-23 14:00,Gujarat,Expressway,Signal Jumping,Windy,Night - Street Lit,Auto-Rickshaw,Serious,0,0,24.4
ACC00279,2023-01-17 00:00,Bihar,State Highway,Vehicle Failure,Foggy,Daylight,Pedestrian,Minor,2,0,6.2
ACC00280,2023-11-08 15:00,Rajasthan,National Highway,Wrong Side Driving,Hazy,Dawn/Dusk,Bus,Minor,4,3,109.8
ACC00281,2018-12-05 09:00,Bihar,Urban Road,Over Speeding,Hazy,Night - Street Lit,Truck,Minor,1,1,42.3
ACC00282,2021-07-02 15:00,Bihar,National Highway,Poor Road Condition,Hazy,Night - No Light,Truck,Minor,1,1,117.7
ACC00283,2019-07-17 14:00,Rajasthan,Expressway,Drunk Driving,Hazy,Dawn/Dusk,Two-Wheeler,Serious,0,0,98.6
ACC00284,2020-05-27 21:00,Maharashtra,Rural Road,Distracted Driving,Clear,Night - Street Lit,Two-Wheeler,Fatal,1,0,13.4
ACC00285,2018-01-25 02:00,Gujarat,Expressway,Signal Jumping,Rainy,Night - No Light,Car,Minor,2,0,27.6
ACC00286,2021-02-24 21:00,Odisha,Expressway,Signal Jumping,Foggy,Dawn/Dusk,Two-Wheeler,Serious,5,2,45.9
ACC00287,2019-02-09 03:00,West Bengal,Urban Road,Signal Jumping,Rainy,Daylight,Truck,Minor,2,1,49.7
ACC00288,2020-02-01 05:00,Tamil Nadu,Urban Road,Wrong Side Driving,Rainy,Night - Street Lit,Auto-Rickshaw,Serious,0,0,56.2
ACC00289,2019-01-16 20:00,Karnataka,Expressway,Drunk Driving,Foggy,Dawn/Dusk,Two-Wheeler,Minor,1,1,8.6
ACC00290,2019-04-27 10:00,Bihar,Expressway,Over Speeding,Foggy,Night - No Light,Two-Wheeler,Fatal,0,0,61.9
ACC00291,2019-01-03 04:00,Tamil Nadu,State Highway,Distracted Driving,Windy,Daylight,Pedestrian,Fatal,5,2,93.9
ACC00292,2020-11-07 17:00,Madhya Pradesh,State Highway,Wrong Side Driving,Clear,Dawn/Dusk,Two-Wheeler,Serious,3,3,3.6
ACC00293,2020-12-05 04:00,Tamil Nadu,National Highway,Poor Road Condition,Rainy,Daylight,Two-Wheeler,Serious,1,1,52.3
ACC00294,2021-09-10 07:00,Gujarat,Rural Road,Vehicle Failure,Rainy,Night - No Light,Two-Wheeler,Serious,1,0,103.9
ACC00295,2019-07-19 10:00,Bihar,State Highway,Bad Weather,Rainy,Daylight,Auto-Rickshaw,Fatal,4,2,75.0
ACC00296,2019-02-14 21:00,Maharashtra,State Highway,Drunk Driving,Rainy,Night - Street Lit,Pedestrian,Minor,1,0,23.6
ACC00297,2023-05-25 05:00,Maharashtra,Urban Road,Wrong Side Driving,Rainy,Daylight,Pedestrian,Fatal,3,1,21.7
ACC00298,2022-01-27 18:00,Bihar,Expressway,Bad Weather,Hazy,Night - Street Lit,Auto-Rickshaw,Serious,0,0,3.6
ACC00299,2018-03-04 02:00,Gujarat,National Highway,Over Speeding,Clear,Daylight,Two-Wheeler,Serious,3,0,20.6
ACC00300,2019-12-12 09:00,Tamil Nadu,Expressway,Over Speeding,Hazy,Dawn/Dusk,Two-Wheeler,Fatal,0,0,10.5
ACC00301,2023-02-04 14:00,Bihar,National Highway,Distracted Driving,Windy,Night - No Light,Two-Wheeler,Minor,2,2,77.2
ACC00302,2018-07-17 23:00,Gujarat,National Highway,Distracted Driving,Foggy,Daylight,Bus,Fatal,1,0,20.0
ACC00303,2023-04-24 06:00,Odisha,Rural Road,Distracted Driving,Hazy,Night - Street Lit,Car,Serious,0,0,56.2
ACC00304,2020-08-09 12:00,Madhya Pradesh,State Highway,Poor Road Condition,Foggy,Dawn/Dusk,Truck,Serious,5,2,98.3
ACC00305,2021-04-16 19:00,Rajasthan,Expressway,Over Speeding,Foggy,Daylight,Truck,Minor,1,1,41.3
ACC00306,2019-12-21 15:00,Odisha,Rural Road,Bad Weather,Windy,Daylight,Pedestrian,Fatal,3,1,101.9
ACC00307,2020-07-01 08:00,Rajasthan,Rural Road,Poor Road Condition,Hazy,Night - No Light,Truck,Minor,0,0,86.8
ACC00308,2019-07-22 00:00,Tamil Nadu,Expressway,Wrong Side Driving,Windy,Dawn/Dusk,Auto-Rickshaw,Serious,2,0,76.7
ACC00309,2020-12-07 17:00,Rajasthan,Rural Road,Over Speeding,Clear,Daylight,Truck,Serious,1,1,36.7
ACC00310,2022-06-12 05:00,Karnataka,National Highway,Distracted Driving,Clear,Dawn/Dusk,Car,Fatal,2,1,79.0
ACC00311,2020-08-16 07:00,Tamil Nadu,Urban Road,Vehicle Failure,Hazy,Night - No Light,Two-Wheeler,Fatal,3,1,9.1
ACC00312,2020-01-03 18:00,Rajasthan,Expressway,Poor Road Condition,Rainy,Night - No Light,Two-Wheeler,Fatal,2,0,68.4
ACC00313,2023-05-10 23:00,Odisha,Expressway,Poor Road Condition,Clear,Night - Street Lit,Pedestrian,Fatal,2,1,16.9
ACC00314,2022-03-05 03:00,Maharashtra,Rural Road,Distracted Driving,Hazy,Night - No Light,Two-Wheeler,Fatal,1,0,88.7
ACC00315,2019-07-13 22:00,Tamil Nadu,Rural Road,Vehicle Failure,Hazy,Night - No Light,Car,Serious,3,1,63.0
ACC00316,2022-07-10 11:00,Karnataka,State Highway,Drunk Driving,Hazy,Dawn/Dusk,Bus,Fatal,3,3,2.7
ACC00317,2021-01-23 11:00,Madhya Pradesh,Urban Road,Bad Weather,Clear,Night - Street Lit,Pedestrian,Minor,1,0,30.7
ACC00318,2021-05-08 10:00,Rajasthan,Expressway,Poor Road Condition,Rainy,Night - Street Lit,Truck,Fatal,1,0,73.5
ACC00319,2023-01-09 23:00,Maharashtra,Urban Road,Distracted Driving,Windy,Daylight,Car,Minor,3,2,94.1
ACC00320,2021-09-07 10:00,Odisha,State Highway,Vehicle Failure,Hazy,Daylight,Two-Wheeler,Minor,1,0,22.2
ACC00321,2021-01-18 06:00,Maharashtra,State Highway,Poor Road Condition,Hazy,Night - No Light,Car,Serious,0,0,79.8
ACC00322,2018-12-16 22:00,Bihar,Expressway,Bad Weather,Hazy,Daylight,Truck,Minor,2,0,114.2
ACC00323,2023-12-24 15:00,Madhya Pradesh,State Highway,Distracted Driving,Clear,Daylight,Car,Minor,4,3,56.6
ACC00324,2020-07-11 12:00,Uttar Pradesh,Urban Road,Distracted Driving,Foggy,Dawn/Dusk,Truck,Serious,1,0,43.1
ACC00325,2018-05-02 10:00,Bihar,Rural Road,Vehicle Failure,Clear,Night - No Light,Car,Fatal,2,0,114.5
ACC00326,2020-08-16 10:00,Karnataka,State Highway,Drunk Driving,Clear,Daylight,Bus,Serious,1,0,86.7
ACC00327,2023-08-27 15:00,Gujarat,State Highway,Poor Road Condition,Hazy,Night - Street Lit,Auto-Rickshaw,Serious,1,0,42.9
ACC00328,2022-04-08 21:00,Bihar,Rural Road,Poor Road Condition,Windy,Night - Street Lit,Truck,Fatal,1,1,63.3
ACC00329,2018-05-07 18:00,West Bengal,Urban Road,Vehicle Failure,Clear,Night - No Light,Bus,Serious,3,1,86.5
ACC00330,2020-11-17 04:00,Karnataka,Rural Road,Wrong Side Driving,Clear,Dawn/Dusk,Pedestrian,Serious,2,2,11.7
ACC00331,2018-12-09 11:00,Gujarat,Rural Road,Signal Jumping,Clear,Night - Street Lit,Bus,Fatal,4,1,83.3
ACC00332,2019-10-28 21:00,Bihar,Rural Road,Signal Jumping,Clear,Daylight,Car,Minor,6,3,48.6
ACC00333,2020-02-26 01:00,Gujarat,State Highway,Wrong Side Driving,Rainy,Dawn/Dusk,Truck,Fatal,1,1,118.8
ACC00334,2020-09-20 18:00,Gujarat,State Highway,Signal Jumping,Rainy,Night - No Light,Two-Wheeler,Serious,0,0,70.3
ACC00335,2022-01-19 11:00,Gujarat,Expressway,Distracted Driving,Rainy,Dawn/Dusk,Auto-Rickshaw,Minor,2,1,37.2
ACC00336,2018-09-20 19:00,Bihar,National Highway,Signal Jumping,Windy,Dawn/Dusk,Auto-Rickshaw,Fatal,3,0,52.9
ACC00337,2022-09-01 15:00,Rajasthan,Expressway,Poor Road Condition,Foggy,Night - No Light,Truck,Serious,3,1,47.5
ACC00338,2019-11-20 18:00,West Bengal,State Highway,Signal Jumping,Rainy,Night - No Light,Car,Serious,0,0,114.6
ACC00339,2020-01-05 06:00,Karnataka,Urban Road,Wrong Side Driving,Hazy,Night - No Light,Auto-Rickshaw,Serious,1,1,111.5
ACC00340,2019-04-13 00:00,Odisha,State Highway,Over Speeding,Windy,Dawn/Dusk,Car,Fatal,2,1,75.6
ACC00341,2019-02-23 06:00,Gujarat,Rural Road,Drunk Driving,Clear,Dawn/Dusk,Two-Wheeler,Minor,1,0,82.8
ACC00342,2021-02-12 09:00,Bihar,Urban Road,Drunk Driving,Windy,Night - Street Lit,Two-Wheeler,Fatal,3,2,97.3
ACC00343,2022-05-28 12:00,Uttar Pradesh,National Highway,Distracted Driving,Windy,Night - No Light,Two-Wheeler,Serious,3,0,14.0
ACC00344,2020-03-13 02:00,West Bengal,National Highway,Distracted Driving,Clear,Dawn/Dusk,Bus,Serious,2,0,100.9
ACC00345,2023-01-20 15:00,Maharashtra,Urban Road,Poor Road Condition,Rainy,Night - Street Lit,Bus,Fatal,1,1,63.7
ACC00346,2023-08-03 14:00,Maharashtra,State Highway,Signal Jumping,Windy,Night - No Light,Bus,Fatal,0,0,75.1
ACC00347,2018-07-13 20:00,Karnataka,State Highway,Drunk Driving,Clear,Night - No Light,Bus,Fatal,4,2,78.2
ACC00348,2021-01-08 04:00,Rajasthan,State Highway,Poor Road Condition,Foggy,Night - No Light,Car,Fatal,3,0,30.9
ACC00349,2019-05-18 10:00,Odisha,State Highway,Distracted Driving,Foggy,Daylight,Car,Fatal,3,1,75.7
ACC00350,2021-01-10 20:00,Karnataka,National Highway,Bad Weather,Rainy,Daylight,Auto-Rickshaw,Minor,2,0,19.8
ACC00351,2021-02-15 11:00,West Bengal,Expressway,Signal Jumping,Windy,Dawn/Dusk,Truck,Minor,4,0,114.8
ACC00352,2021-03-01 11:00,Tamil Nadu,Rural Road,Distracted Driving,Hazy,Dawn/Dusk,Pedestrian,Minor,3,2,87.2
ACC00353,2023-08-10 00:00,Madhya Pradesh,Rural Road,Over Speeding,Clear,Daylight,Pedestrian,Minor,0,0,100.8
ACC00354,2021-02-16 16:00,West Bengal,State Highway,Over Speeding,Clear,Dawn/Dusk,Two-Wheeler,Serious,0,0,28.1
ACC00355,2019-06-03 16:00,Karnataka,Expressway,Poor Road Condition,Clear,Dawn/Dusk,Truck,Serious,2,0,105.0
ACC00356,2020-06-06 21:00,Odisha,Rural Road,Poor Road Condition,Rainy,Night - No Light,Auto-Rickshaw,Serious,4,1,114.5
ACC00357,2022-07-14 05:00,Karnataka,National Highway,Signal Jumping,Clear,Night - Street Lit,Car,Fatal,3,0,99.1
ACC00358,2021-01-06 04:00,Karnataka,Rural Road,Bad Weather,Hazy,Dawn/Dusk,Car,Fatal,1,0,43.5
ACC00359,2020-09-02 16:00,Karnataka,Expressway,Poor Road Condition,Foggy,Daylight,Truck,Minor,1,1,52.1
ACC00360,2021-05-11 21:00,Maharashtra,Expressway,Bad Weather,Clear,Daylight,Two-Wheeler,Minor,4,1,54.6
ACC00361,2023-09-18 06:00,Tamil Nadu,Expressway,Signal Jumping,Windy,Daylight,Car,Serious,3,0,17.3
ACC00362,2023-12-09 05:00,Rajasthan,National Highway,Over Speeding,Hazy,Dawn/Dusk,Bus,Serious,1,0,57.8
ACC00363,2023-07-27 09:00,Karnataka,Urban Road,Distracted Driving,Foggy,Daylight,Car,Serious,2,1,97.0
ACC00364,2023-11-05 07:00,Karnataka,Urban Road,Over Speeding,Hazy,Night - No Light,Two-Wheeler,Serious,2,2,91.3
ACC00365,2023-04-01 08:00,Odisha,Rural Road,Drunk Driving,Rainy,Night - Street Lit,Truck,Minor,1,1,27.6
ACC00366,2019-10-25 10:00,Karnataka,Urban Road,Poor Road Condition,Clear,Dawn/Dusk,Auto-Rickshaw,Fatal,4,1,39.2
ACC00367,2023-09-12 21:00,Karnataka,State Highway,Drunk Driving,Hazy,Dawn/Dusk,Car,Minor,1,0,23.3
ACC00368,2019-02-18 00:00,Maharashtra,Rural Road,Vehicle Failure,Windy,Night - No Light,Auto-Rickshaw,Minor,4,0,91.9
ACC00369,2019-03-10 10:00,West Bengal,Expressway,Over Speeding,Windy,Daylight,Bus,Minor,3,1,111.4
ACC00370,2023-06-11 19:00,Maharashtra,Rural Road,Distracted Driving,Foggy,Night - Street Lit,Auto-Rickshaw,Minor,2,0,28.5
ACC00371,2021-09-14 15:00,Uttar Pradesh,National Highway,Drunk Driving,Clear,Dawn/Dusk,Pedestrian,Fatal,0,0,65.7
ACC00372,2021-08-26 10:00,West Bengal,Urban Road,Over Speeding,Rainy,Night - No Light,Truck,Fatal,6,3,59.3
ACC00373,2023-05-16 11:00,Tamil Nadu,Urban Road,Vehicle Failure,Clear,Dawn/Dusk,Pedestrian,Serious,3,0,86.5
ACC00374,2020-06-20 22:00,Rajasthan,National Highway,Over Speeding,Foggy,Dawn/Dusk,Truck,Minor,3,3,55.5
ACC00375,2021-12-11 01:00,Gujarat,Rural Road,Wrong Side Driving,Foggy,Night - Street Lit,Car,Serious,1,1,10.6
ACC00376,2020-02-07 20:00,Rajasthan,Urban Road,Over Speeding,Clear,Dawn/Dusk,Two-Wheeler,Minor,5,2,36.3
ACC00377,2021-06-05 02:00,Maharashtra,State Highway,Signal Jumping,Clear,Night - No Light,Pedestrian,Fatal,0,0,114.7
ACC00378,2022-12-01 11:00,Maharashtra,Rural Road,Drunk Driving,Hazy,Daylight,Pedestrian,Fatal,5,2,60.1
ACC00379,2022-03-18 09:00,Uttar Pradesh,Expressway,Bad Weather,Clear,Night - Street Lit,Pedestrian,Minor,3,2,29.4
ACC00380,2018-05-27 22:00,Madhya Pradesh,National Highway,Wrong Side Driving,Windy,Dawn/Dusk,Auto-Rickshaw,Minor,0,0,57.0
ACC00381,2019-01-14 07:00,Tamil Nadu,Urban Road,Bad Weather,Windy,Daylight,Two-Wheeler,Fatal,2,0,23.3
ACC00382,2022-03-04 05:00,Madhya Pradesh,Urban Road,Poor Road Condition,Clear,Night - No Light,Auto-Rickshaw,Minor,0,0,43.6
ACC00383,2023-11-22 00:00,Bihar,National Highway,Wrong Side Driving,Rainy,Daylight,Auto-Rickshaw,Fatal,2,0,5.8
ACC00384,2023-01-12 23:00,Karnataka,Rural Road,Wrong Side Driving,Rainy,Night - Street Lit,Pedestrian,Minor,1,0,94.3
ACC00385,2018-05-21 06:00,Bihar,Rural Road,Poor Road Condition,Hazy,Dawn/Dusk,Car,Minor,3,1,21.8
ACC00386,2019-11-27 11:00,Uttar Pradesh,Expressway,Distracted Driving,Foggy,Night - No Light,Bus,Minor,0,0,85.8
ACC00387,2022-05-26 20:00,West Bengal,Expressway,Over Speeding,Clear,Night - No Light,Pedestrian,Serious,3,2,119.9
ACC00388,2023-09-10 09:00,Karnataka,Rural Road,Signal Jumping,Clear,Daylight,Pedestrian,Minor,2,0,23.6
ACC00389,2021-07-20 10:00,Gujarat,Expressway,Distracted Driving,Foggy,Night - Street Lit,Car,Fatal,6,3,3.8
ACC00390,2020-06-28 09:00,Uttar Pradesh,Rural Road,Wrong Side Driving,Clear,Dawn/Dusk,Car,Serious,4,0,49.0
ACC00391,2020-08-26 02:00,Bihar,National Highway,Wrong Side Driving,Rainy,Dawn/Dusk,Auto-Rickshaw,Minor,0,0,36.8
ACC00392,2020-11-25 12:00,Uttar Pradesh,Urban Road,Vehicle Failure,Rainy,Night - No Light,Bus,Serious,0,0,53.6
ACC00393,2019-05-21 04:00,Madhya Pradesh,Expressway,Vehicle Failure,Clear,Dawn/Dusk,Auto-Rickshaw,Fatal,1,0,37.7
ACC00394,2021-03-02 03:00,Rajasthan,State Highway,Poor Road Condition,Foggy,Daylight,Pedestrian,Fatal,3,0,91.3
ACC00395,2019-05-08 13:00,Madhya Pradesh,Expressway,Vehicle Failure,Rainy,Night - Street Lit,Truck,Fatal,1,0,19.2
ACC00396,2020-10-13 05:00,Karnataka,Expressway,Bad Weather,Clear,Dawn/Dusk,Auto-Rickshaw,Serious,2,1,73.0
ACC00397,2023-10-06 16:00,Rajasthan,Rural Road,Vehicle Failure,Foggy,Daylight,Car,Serious,3,1,114.0
ACC00398,2018-12-22 10:00,Bihar,National Highway,Over Speeding,Foggy,Dawn/Dusk,Bus,Fatal,3,1,112.7
ACC00399,2018-12-21 09:00,Odisha,Urban Road,Wrong Side Driving,Hazy,Night - Street Lit,Auto-Rickshaw,Minor,3,0,57.0
ACC00400,2020-11-10 03:00,Bihar,Rural Road,Distracted Driving,Foggy,Night - Street Lit,Car,Serious,3,1,87.3
ACC00401,2021-01-07 09:00,Tamil Nadu,Urban Road,Vehicle Failure,Windy,Daylight,Truck,Minor,0,0,38.6
ACC00402,2022-03-19 17:00,Odisha,Expressway,Over Speeding,Hazy,Daylight,Pedestrian,Serious,3,0,85.1
ACC00403,2021-09-06 13:00,Madhya Pradesh,National Highway,Drunk Driving,Windy,Night - No Light,Pedestrian,Serious,2,0,54.2
ACC00404,2023-12-25 22:00,West Bengal,Rural Road,Vehicle Failure,Hazy,Night - No Light,Two-Wheeler,Minor,3,0,78.4
ACC00405,2018-09-25 05:00,Bihar,National Highway,Poor Road Condition,Windy,Daylight,Truck,Serious,1,1,72.6
